BLACK SPOTS IDENTIFIED BY THE STATE IN CALENDER YEAR 2025 IN RESPECT OF HYDERABAD CITY.,,,,,,,,,,,,,,
NAME OF DISTRICT/UNIT: HYDERABAD CITY,,,,,,,,,,,,,,
SL. NO.,Zone,NAME OF JURISDICTIONAL POLICE STATION,NH / SH / MDR / OR. No.,,LIMITS OF HIGH ACCIDENT PRONE LOCATION,,NUMBER OF ACCIDENTS,,,,NUMBER OF FATALITIES,,,
,,,,NAME OF THE LOCATION,STARTING FROM (KM),ENDING TO (KM),2023,2024,2025,TOTAL OF ALL THREE YEARS,2023,2024,2025,TOTAL OF ALL THREE YEARS
1,Secunderabad,Domalguda,NH - 44 (Nagpur to Hyderabad),"(CHILDREN PARK, TANKBUND) Alluri Seetharamaju Statue to Komaram Bheem Statue)",3.8,3.3,5,1,2,8,3,0,1,4
2,Secunderabad,Domalguda,NH - 44 (Nagpur to Hyderabad),"(OLD LOVE / BADE MIYA KABAB, UPPER TANKBUND) Yellama Temple to Maqboom Mohiuddin Statue",3.2,2.7,1,3,2,6,1,3,2,6
3,Secunderabad,Domalguda,NH - 44 (Nagpur to Hyderabad),"(LEPAKSHI, UPPER TANKBUND) Pooja Stall to Bade Miya Kabab",2.4,1.9,0,4,1,5,0,3,1,4
4,Rajendranagar,Kamathipura,NH - 44 (Hyderabad to Bangalore),(PURANAPOOL SHAMSHANGAHT) Puranapool X Road to Bhadurpura X Road,2.5,3,1,4,3,8,1,4,2,7
5,Rajendranagar,Bahadurpura,NH - 44 (Hyderabad to Bangalore),(ZOO PARK / TADBUN X ROADS) Bahadurpura X Road to Zoo Park,4,4.5,3,2,5,10,3,3,4,10
6,Rajendranagar,Rajendranagar,NH - 44 (Hyderabad to Bangalore),(BUDVEL RAILWAY STATION ROAD) Budvel Railway Station Road to Starting point of AG College Flyover on NH-44,10.4,9.9,7,1,1,9,6,1,1,8
7,Shamshabad,RGIA,NH - 44 (Hyderabad to Bangalore),(Gaganpahad) Gaganpahad Metro Chas & Carry to AKR Bar,12.4,12.9,4,7,4,15,4,7,4,15
8,Shamshabad,RGIA,NH - 44 (Hyderabad to Bangalore),"(Satamrai) Sri Ramachandra Temple, Shamshabad to RR Convention, Satamrai",12.48,15.4,2,5,1,8,2,5,0,7
9,Shamshabad,RGIA,NH - 44 (Hyderabad to Bangalore),"(Simplex) Helios Stone - Imported marble - Exotics to ABC Spacery, Satamrai, Shamshabad",15.5,15.7,3,2,1,6,3,1,1,5
10,Shamshabad,RGIA,NH - 44 (Hyderabad to Bangalore),"(Shamshabad) MRO Office Kaman, Shamshabad to Begum's India Garden Function hall",17.2,17.66,7,7,7,21,7,7,7,21
11,Shamshabad,RGIA,NH - 44 (Hyderabad to Bangalore),"(Thondupally) Indiana Bakery to Masjid E Noori, Shamshabad",18.5,18.7,2,6,5,13,,,,0
12,Jubilee Hills,SR Nagar,NH - 44 (Hyderabad to Bangalore),(ESI HOSPITAL / ERRAGADDA) ESI Metro Station to Gokul Theatre,6.6,7.1,1,4,9,14,1,2,3,6
13,Jubilee Hills,SR Nagar,NH - 44 (Hyderabad to Bangalore),(MAITRIVANAM JUNCTION) Maitrivanam Junction to Umesh chandra Statue,4.7,5.2,1,4,0,5,1,1,0,2
14,Jubilee Hills,Sanathnagar,NH - 65 (Pune to Hyderabad),(Moosapet) From Super Gas Auto LPG to Metro Piller no. A960 of Sanathnagar,0.4,0.9,1,2,2,5,1,1,2,4
15,Jubilee Hills,Sanathnagar,NH - 65 (Pune to Hyderabad),"(Bharathnagar) Metro Piller no. A901 to A914, Sanathnagar, Hyderabad",0.4,0.9,1,4,0,5,1,4,0,5
16,Khairathabad,Khairathabad,NH - 65 (Pune to Hyderabad),"OLD PS SAIFABAD TO GLOBAL HOSPITAL, LAKDIKAPOOL",0.4,0.9,4,2,2,8,2,1,2,5
17,Golconda,Begum Bazar,NH - 65 (Pune to Hyderabad),(MJ Market) MJ Market to Gandhi Bhavan Road,2,2.5,1,0,6,7,1,0,2,3
18,Golconda,Afzalgunj,NH - 65 (Hyderabad to Vijaywada),(Afzalgunj T Junction) AFZALGUNJ T JUNCTION to Shivaji Bridge,3.5,4,4,1,0,5,3,1,0,4
19,Golconda,Afzalgunj,NH - 65 (Hyderabad to Vijaywada),"(CBS, Gowliguda) Shivaji Bridge Signal to CBS, GOWLIGUDA",4,4.5,4,1,0,5,2,1,0,3
20,Golconda,Afzalgunj,NH - 65 (Hyderabad to Vijaywada),(Chaderghat X Road) CHADERGHAT X ROAD to SAI BABA TEMPLE,5,5.5,1,1,3,5,1,1,0,2
21,Charminar,Chaderghat,NH - 65 (Hyderabad to Vijaywada),(NALGONDA X ROAD) (Nalgonda X Road to Malakpet RUB),6.5,7,1,3,2,6,1,3,2,6
22,Charminar,Chaderghat,NH - 65 (Hyderabad to Vijaywada),(MALAKPET GUNJ / CHERMAS) (Malakpet Gunj to PVR Mall,7,7.5,5,3,3,11,5,2,3,10
23,Charminar,Malakpet,NH - 65 (Hyderabad to Vijaywada),(MOOSARAMBAGH X ROAD) Moon Bean bar to Captial Hotel,8,8.5,3,2,2,7,3,1,2,6
24,Charminar,Malakpet,NH - 65 (Hyderabad to Vijaywada),(VAIBHAV BUS STOP / DILSUKH NAGAR) Vibhav Bus Stop to Karthika Hospital,9.5,10,1,4,0,5,1,3,0,4
25,Rajendranagar,Chandrayangutta,NH - 765 (Chandrayangutta to Srisailam),(MBNR X ROAD / KESHAVGIRI T JN.) MBNR to Bandalaguda X Road,4.2,4.7,4,3,1,8,1,2,1,4
26,Golconda,Langer House,NH - 163 (Vikrabad to Hyderabad),(Bapughat) BAPUGHAT to Tippu Khan Signal,10,10.5,3,3,2,8,3,3,2,8
27,Rajendranagar,Rajendranagar,Other Road,"(PVNR Pillar No. 168 to 184) Cinepolis (Upparapally), Royal Colony, Rambagh Colony",,,3,1,1,5,3,0,1,4
28,Rajendranagar,Rajendranagar,Other Road,"(PVNR Pillar No. 138 to 156 ) (Cross road, Hyderguda, Rajendranagar)",,,4,1,1,6,4,1,1,6
29,Rajendranagar,Mailardevpally,Other Road,(Durga Nagar X Road ) Mailardevpally wines to Durganagar X road,,,2,1,2,5,2,1,2,5
30,Rajendranagar,Mailardevpally,Other Road,Airport road / (Mehfil Hotel to Prime function hall),,,2,3,2,7,2,3,2,7
31,Rajendranagar,Chandrayangutta,Other Road,(Bandlaguda X Road) Bandlaguda PS to Highway Restaurent,,,9,3,5,17,5,3,5,13
32,Rajendranagar,Chandrayangutta,Other Road,"(Omer Hotel, Baba Nagar) Omer Hotel to Poolbagh",,,3,3,3,9,1,1,3,5
33,Golconda,Golconda,Other Road,(Ramdevguda Signal) ( Sarvatra sports Complex to Ayurvedic Hospital,,,3,0,5,8,3,0,3,6
34,Golconda,Langer House,Other Road,(Laxmi Nagar) ( Pillar No. 65 Gudimalkapur Pelicon Signal to Mytri Hospital Crystal building),,,2,2,1,5,2,0,1,3
